BORR - Stable Isotope Database - Precipitation,,,,,,
Start Datetime,End Datetime,Bulk,Type,δ¹⁸O,δD,Location
3/10/2021 18:00:00,3/10/2021 18:00:00,0,GW Well,-7.38,-47.18,Stream Well
3/11/2021 13:00:00,3/11/2021 13:00:00,0,GW Well,-7.47,-47.80,Rip Well
3/11/2021 13:00:00,3/11/2021 13:00:00,0,GW Well,-7.34,-46.98,Stream Well
4/21/2021 9:00:00,4/21/2021 9:00:00,0,GW Well,-7.12,-45.59,Rip Well
4/21/2021 9:00:00,4/21/2021 9:00:00,0,GW Well,-7.09,-45.59,Stream Well
4/21/2021 12:00:00,4/21/2021 12:00:00,0,GW Well,-7.53,-47.56,N1
4/27/2021 9:00:00,4/27/2021 9:00:00,0,GW Well,-7.10,-45.19,Rip Well
4/27/2021 9:00:00,4/27/2021 9:00:00,0,GW Well,-7.06,-45.07,Stream Well
6/10/2021 9:00:00,6/10/2021 9:00:00,0,GW Well,-6.63,-41.73,Rip Well
BORR - Stable Isotope Database - Soil Water,,,,,,
Start Datetime,End Datetime,Bulk,Type,δ18O,δD,Location
12/18/2020 7:00:00,12/18/2020 23:00:00,1,Lysimeter,-5.21,-31.47,N110
3/10/2021 7:00:00,3/10/2021 23:00:00,1,Lysimeter,-7.59,-48.35,N210
3/19/2021 7:00:00,3/19/2021 23:00:00,1,Lysimeter,-8.69,-52.97,N210
12/18/2020 7:00:00,12/18/2020 23:00:00,1,Lysimeter,-5.97,-34.73,N240
1/4/2021 7:00:00,1/4/2021 23:00:00,1,Lysimeter,-5.91,-34.35,N240
1/27/2021 7:00:00,1/27/2021 23:00:00,1,Lysimeter,-8.87,-59.71,N240
1/28/2021 7:00:00,1/28/2021 0:00:00,1,Lysimeter,-11.97,-78.63,N240
1/30/2021 7:00:00,1/30/2021 23:00:00,1,Lysimeter,-11.26,-73.11,N240
2/4/2021 7:00:00,2/4/2021 23:00:00,1,Lysimeter,-10.35,-69.33,N240
2/12/2021 7:00:00,2/12/2021 23:00:00,1,Lysimeter,-9.15,-58.14,N240
3/19/2021 7:00:00,3/19/2021 23:00:00,1,Lysimeter,-8.85,-54.08,N240
12/18/2020 7:00:00,12/18/2020 23:00:00,1,Lysimeter,-5.83,-32.39,N310
1/28/2021 7:00:00,1/28/2021 0:00:00,1,Lysimeter,-11.15,-76.59,N310
1/30/2021 7:00:00,1/30/2021 23:00:00,1,Lysimeter,-11.68,-78.73,N310
2/12/2021 7:00:00,2/12/2021 23:00:00,1,Lysimeter,-9.87,-66.88,N310
3/9/2021 7:00:00,3/9/2021 23:00:00,1,Lysimeter,-7.92,-52.71,N310
3/10/2021 9:00:00,3/10/2021 9:00:00,0,Lysimeter,-8.26,-53.02,N310
3/10/2021 17:00:00,3/10/2021 17:00:00,0,Lysimeter,-8.99,-56.96,N310
3/19/2021 7:00:00,3/19/2021 23:00:00,1,Lysimeter,-7.70,-49.07,N310
3/19/2021 7:00:00,3/19/2021 23:00:00,1,Lysimeter,-8.05,-52.83,S110
12/18/2020 7:00:00,12/18/2020 23:00:00,1,Lysimeter,-3.74,-29.31,S140
1/27/2021 7:00:00,1/27/2021 23:00:00,1,Lysimeter,-4.11,-31.79,S140
1/30/2021 7:00:00,1/30/2021 23:00:00,1,Lysimeter,-8.17,-56.37,S140
2/4/2021 7:00:00,2/4/2021 23:00:00,1,Lysimeter,-8.51,-57.89,S140
2/12/2021 7:00:00,2/12/2021 23:00:00,1,Lysimeter,-10.09,-67.60,S210
3/10/2021 7:00:00,3/10/2021 23:00:00,1,Lysimeter,-9.57,-61.57,S210
3/19/2021 7:00:00,3/19/2021 23:00:00,1,Lysimeter,-9.20,-57.16,S210
1/28/2021 7:00:00,1/28/2021 0:00:00,1,Lysimeter,-11.44,-79.04,S240
1/30/2021 7:00:00,1/30/2021 23:00:00,1,Lysimeter,-11.57,-79.36,S240
1/30/2021 7:00:00,1/30/2021 23:00:00,1,Lysimeter,-11.59,-78.83,S240
2/4/2021 7:00:00,2/4/2021 23:00:00,1,Lysimeter,-11.44,-76.94,S240
2/12/2021 7:00:00,2/12/2021 23:00:00,1,Lysimeter,-11.10,-74.60,S240
3/19/2021 7:00:00,3/19/2021 23:00:00,1,Lysimeter,-9.77,-65.29,S240
1/28/2021 7:00:00,1/28/2021 0:00:00,1,Lysimeter,-7.78,-52.90,S310
12/18/2020 7:00:00,12/18/2020 23:00:00,1,Lysimeter,-4.90,-33.99,S340
1/4/2021 7:00:00,1/4/2021 23:00:00,1,Lysimeter,-5.26,-35.81,S340
1/27/2021 7:00:00,1/27/2021 23:00:00,1,Lysimeter,-7.39,-50.07,S340
2/4/2021 7:00:00,2/4/2021 23:00:00,1,Lysimeter,-8.96,-60.68,S340
2/12/2021 7:00:00,2/12/2021 23:00:00,1,Lysimeter,-9.21,-62.74,S340
3/19/2021 7:00:00,3/19/2021 23:00:00,1,Lysimeter,-9.15,-58.10,S340
BORR - Stable Isotope Database - Seeps,,,,,,
Start Datetime,End Datetime,Bulk,Type,δ18O,δD,Location
5/19/2020 10:00:00,5/19/2020 10:00:00,0,Seep,-7.18,-44.86,NDC Seep 1
6/2/2020 11:00:00,6/2/2020 11:00:00,0,Seep,-7.31,-45.51,NDC Seep 2
7/22/2020 7:00:00,7/22/2020 7:00:00,0,Seep,-5.18,-38.50,NDC Seep 10
7/22/2020 7:00:00,7/22/2020 7:00:00,0,Seep,-7.19,-45.15,NDC Seep 13
7/22/2020 11:00:00,7/22/2020 11:00:00,0,Seep,-7.26,-45.36,NDC Seep 14
7/22/2020 10:00:00,7/22/2020 10:00:00,0,Seep,-7.14,-44.76,NDC Seep 4
7/22/2020 8:00:00,7/22/2020 8:00:00,0,Seep,-7.23,-45.22,NDC Seep 5
7/22/2020 8:00:00,7/22/2020 8:00:00,0,Seep,-5.81,-39.74,NDC Seep 6
7/22/2020 8:00:00,7/22/2020 8:00:00,0,Seep,-7.29,-45.97,NDC Seep 8
7/22/2020 8:00:00,7/22/2020 8:00:00,0,Seep,-7.34,-45.73,NDC Seep 9
7/22/2020 9:00:00,7/22/2020 9:00:00,0,Seep,-7.20,-45.04,NDC Seep S20 B
7/22/2020 7:00:00,7/22/2020 7:00:00,0,Seep,-7.61,-47.21,SDC Seep 3
7/22/2020 8:00:00,7/22/2020 8:00:00,0,Seep,-7.37,-46.29,SDC Seep 4
7/22/2020 8:00:00,7/22/2020 8:00:00,0,Seep,-7.00,-43.73,SDC Tributary Seep
1/21/2021 12:00:00,1/21/2021 12:00:00,0,Seep,-7.12,-45.24,NDC Seep 1
1/21/2021 12:00:00,1/21/2021 12:00:00,0,Seep,-6.91,-43.56,NDC Seep 1
1/21/2021 13:00:00,1/21/2021 13:00:00,0,Seep,-6.98,-44.21,NDC Seep 6
1/21/2021 13:00:00,1/21/2021 13:00:00,0,Seep,-6.95,-44.05,NDC Seep 6
3/9/2021 10:00:00,3/9/2021 10:00:00,0,Seep,-7.03,-47.26,NDC Seep 1
3/10/2021 8:00:00,3/10/2021 8:00:00,0,Seep,-7.81,-49.53,NDC Seep 1
6/22/2021 12:00:00,6/22/2021 12:00:00,0,Seep,-7.52,-47.46,SDC Big Pool Seep
6/22/2021 12:00:00,6/22/2021 12:00:00,0,Seep,-7.45,-47.25,SDC Tributary Seep
6/22/2021 12:00:00,6/22/2021 12:00:00,0,Seep,-7.64,-47.93,SDC Tributary Seep
6/23/2021 12:00:00,6/23/2021 12:00:00,0,Seep,-7.15,-45.47,NDC Seep 16
6/29/2021 12:00:00,6/29/2021 12:00:00,0,Seep,-7.49,-47.11,NDC Seep 10
6/30/2021 10:00:00,6/30/2021 10:00:00,0,Seep,-7.49,-47.58,SDC Big Pool Seep
7/1/2021 10:00:00,7/1/2021 10:00:00,0,Seep,-7.65,-48.27,Seep Above SDC upper
7/22/2021 12:30:00,7/22/2021 12:30:00,0,Seep,-7.17,-45.71,SDC Seep 4
